"LOCATION","Country","SUBJECT","Subject","SEX","Sex","FREQUENCY","Frequency","TIME","Time","Unit Code","Unit","PowerCode Code","PowerCode","Reference Period Code","Reference Period","Value","Flag Codes","Flags"
"AUT","Austria","YP99TLL1_ST","Population (hist5) All ages","TT","All persons","A","Annual","2008","2008","PER","Persons","0","Units",,,8321541,,
"AUT","Austria","YP99TLL1_ST","Population (hist5) All ages","TT","All persons","A","Annual","2009","2009","PER","Persons","0","Units",,,8341483,,
"AUT","Austria","YP99TLL1_ST","Population (hist5) All ages","TT","All persons","A","Annual","2010","2010","PER","Persons","0","Units",,,8361069,,
"AUT","Austria","YP99TLL1_ST","Population (hist5) All ages","TT","All persons","A","Annual","2011","2011","PER","Persons","0","Units",,,8388534,,
"AUT","Austria","YP99TLL1_ST","Population (hist5) All ages","TT","All persons","A","Annual","2012","2012","PER","Persons","0","Units",,,8426311,,
"AUT","Austria","YP99TLL1_ST","Population (hist5) All ages","TT","All persons","A","Annual","2013","2013","PER","Persons","0","Units",,,8468570,"B","Break"
"LUX","Luxembourg","YP99TLL1_ST","Population (hist5) All ages","TT","All persons","A","Annual","2000","2000","PER","Persons","0","Units",,,436300,,
"LUX","Luxembourg","YP99TLL1_ST","Population (hist5) All ages","TT","All persons","A","Annual","2001","2001","PER","Persons","0","Units",,,441525,,
"LUX","Luxembourg","YP99TLL1_ST","Population (hist5) All ages","TT","All persons","A","Annual","2002","2002","PER","Persons","0","Units",,,446175,,
"LUX","Luxembourg","YP99TLL1_ST","Population (hist5) All ages","TT","All persons","A","Annual","2003","2003","PER","Persons","0","Units",,,451630,,
"LUX","Luxembourg","YP99TLL1_ST","Population (hist5) All ages","TT","All persons","A","Annual","2004","2004","PER","Persons","0","Units",,,458095,,
"LUX","Luxembourg","YP99TLL1_ST","Population (hist5) All ages","TT","All persons","A","Annual","2005","2005","PER","Persons","0","Units",,,465158,,
"LUX","Luxembourg","YP99TLL1_ST","Population (hist5) All ages","TT","All persons","A","Annual","2006","2006","PER","Persons","0","Units",,,472636,,
"LUX","Luxembourg","YP99TLL1_ST","Population (hist5) All ages","TT","All persons","A","Annual","2007","2007","PER","Persons","0","Units",,,479993,,
"LUX","Luxembourg","YP99TLL1_ST","Population (hist5) All ages","TT","All persons","A","Annual","2008","2008","PER","Persons","0","Units",,,488649,,
"LUX","Luxembourg","YP99TLL1_ST","Population (hist5) All ages","TT","All persons","A","Annual","2009","2009","PER","Persons","0","Units",,,497783,,
"LUX","Luxembourg","YP99TLL1_ST","Population (hist5) All ages","TT","All persons","A","Annual","2010","2010","PER","Persons","0","Units",,,506953,,
"LUX","Luxembourg","YP99TLL1_ST","Population (hist5) All ages","TT","All persons","A","Annual","2011","2011","PER","Persons","0","Units",,,518346,,
"LUX","Luxembourg","YP99TLL1_ST","Population (hist5) All ages","TT","All persons","A","Annual","2012","2012","PER","Persons","0","Units",,,530946,"B","Break"
"JPN","Japan","YP99TLL1_ST","Population (hist5) All ages","TT","All persons","A","Annual","2000","2000","PER","Persons","0","Units",,,126926000,,
"JPN","Japan","YP99TLL1_ST","Population (hist5) All ages","TT","All persons","A","Annual","2001","2001","PER","Persons","0","Units",,,127291000,,
"JPN","Japan","YP99TLL1_ST","Population (hist5) All ages","TT","All persons","A","Annual","2002","2002","PER","Persons","0","Units",,,127435000,,
"JPN","Japan","YP99TLL1_ST","Population (hist5) All ages","TT","All persons","A","Annual","2003","2003","PER","Persons","0","Units",,,127619000,,
"JPN","Japan","YP99TLL1_ST","Population (hist5) All ages","TT","All persons","A","Annual","2004","2004","PER","Persons","0","Units",,,127687000,,
"JPN","Japan","YP99TLL1_ST","Population (hist5) All ages","TT","All persons","A","Annual","2005","2005","PER","Persons","0","Units",,,127768000,,
"JPN","Japan","YP99TLL1_ST","Population (hist5) All ages","TT","All persons","A","Annual","2006","2006","PER","Persons","0","Units",,,127770000,,
"JPN","Japan","YP99TLL1_ST","Population (hist5) All ages","TT","All persons","A","Annual","2007","2007","PER","Persons","0","Units",,,127771000,,
"JPN","Japan","YP99TLL1_ST","Population (hist5) All ages","TT","All persons","A","Annual","2008","2008","PER","Persons","0","Units",,,127692000,,
"JPN","Japan","YP99TLL1_ST","Population (hist5) All ages","TT","All persons","A","Annual","2009","2009","PER","Persons","0","Units",,,127510000,,
"JPN","Japan","YP99TLL1_ST","Population (hist5) All ages","TT","All persons","A","Annual","2010","2010","PER","Persons","0","Units",,,128057000,,
"JPN","Japan","YP99TLL1_ST","Population (hist5) All ages","TT","All persons","A","Annual","2011","2011","PER","Persons","0","Units",,,127799000,,
"JPN","Japan","YP99TLL1_ST","Population (hist5) All ages","TT","All persons","A","Annual","2012","2012","PER","Persons","0","Units",,,127515000,,
"JPN","Japan","YP99TLL1_ST","Population (hist5) All ages","TT","All persons","A","Annual","2013","2013","PER","Persons","0","Units",,,127298000,"B","Break"
"DNK","Denmark","YP99TLL1_ST","Population (hist5) All ages","TT","All persons","A","Annual","2000","2000","PER","Persons","0","Units",,,5339616,,
"DNK","Denmark","YP99TLL1_ST","Population (hist5) All ages","TT","All persons","A","Annual","2001","2001","PER","Persons","0","Units",,,5358783,,
"DNK","Denmark","YP99TLL1_ST","Population (hist5) All ages","TT","All persons","A","Annual","2002","2002","PER","Persons","0","Units",,,5375931,,
"DNK","Denmark","YP99TLL1_ST","Population (hist5) All ages","TT","All persons","A","Annual","2003","2003","PER","Persons","0","Units",,,5390574,,
"DNK","Denmark","YP99TLL1_ST","Population (hist5) All ages","TT","All persons","A","Annual","2004","2004","PER","Persons","0","Units",,,5404523,,
"DNK","Denmark","YP99TLL1_ST","Population (hist5) All ages","TT","All persons","A","Annual","2005","2005","PER","Persons","0","Units",,,5419432,,
"DNK","Denmark","YP99TLL1_ST","Population (hist5) All ages","TT","All persons","A","Annual","2006","2006","PER","Persons","0","Units",,,5437272,,
"DNK","Denmark","YP99TLL1_ST","Population (hist5) All ages","TT","All persons","A","Annual","2007","2007","PER","Persons","0","Units",,,5461438,,
"DNK","Denmark","YP99TLL1_ST","Population (hist5) All ages","TT","All persons","A","Annual","2008","2008","PER","Persons","0","Units",,,5493621,,
"DNK","Denmark","YP99TLL1_ST","Population (hist5) All ages","TT","All persons","A","Annual","2009","2009","PER","Persons","0","Units",,,5523095,,
"DNK","Denmark","YP99TLL1_ST","Population (hist5) All ages","TT","All persons","A","Annual","2010","2010","PER","Persons","0","Units",,,5547683,,
"DNK","Denmark","YP99TLL1_ST","Population (hist5) All ages","TT","All persons","A","Annual","2011","2011","PER","Persons","0","Units",,,5570572,,
"DNK","Denmark","YP99TLL1_ST","Population (hist5) All ages","TT","All persons","A","Annual","2012","2012","PER","Persons","0","Units",,,5591572,,
"DNK","Denmark","YP99TLL1_ST","Population (hist5) All ages","TT","All persons","A","Annual","2013","2013","PER","Persons","0","Units",,,5614932,"B","Break"
"SWE","Sweden","YP99TLL1_ST","Population (hist5) All ages","TT","All persons","A","Annual","2000","2000","PER","Persons","0","Units",,,8872109,,
"SWE","Sweden","YP99TLL1_ST","Population (hist5) All ages","TT","All persons","A","Annual","2001","2001","PER","Persons","0","Units",,,8895960,,
"SWE","Sweden","YP99TLL1_ST","Population (hist5) All ages","TT","All persons","A","Annual","2002","2002","PER","Persons","0","Units",,,8924958,,
"SWE","Sweden","YP99TLL1_ST","Population (hist5) All ages","TT","All persons","A","Annual","2003","2003","PER","Persons","0","Units",,,8958229,,
"SWE","Sweden","YP99TLL1_ST","Population (hist5) All ages","TT","All persons","A","Annual","2004","2004","PER","Persons","0","Units",,,8993531,,
